Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2
250	40.6633031	26.2741896	23.1703374	19.2613286	17.8726961	15.2059146	21.5684253	36.0275060	24.4719036	13.1556262	11.9737858	6.4985602	34.9141823	30.8945936	24.7285736	22.6935043	10.6808010	9.7753099	18.0263470	12.7085833	28.8270269	28.4234159	28.3222508	16.1482563	18.3308381	5.5495662	16.6860025	12.0912163	24.2603697	0.0338952	0.0833233
255	43.4421933	24.2405416	21.7789759	21.2740043	14.5146872	18.1905070	20.1265006	40.3652613	22.4653480	15.8365140	12.1432116	9.4559950	39.8150493	35.3034674	26.7224446	24.8943939	10.6808010	9.5249090	18.0263470	17.9831876	34.3108818	29.1159558	22.4745265	14.5492670	20.9596024	8.4318368	12.0824849	11.9119268	18.7054783	0.0305500	0.0831794
260	43.4421933	24.1686788	23.0255437	18.5310159	14.5146872	18.1905070	20.1265006	34.7013160	18.4010189	15.8365140	12.2067040	11.2976602	33.3339480	32.8738463	22.7810113	18.5370279	11.7720851	8.2132563	16.6387984	17.4908690	30.1751807	27.5660296	26.6153802	14.5492670	20.3617573	8.4318368	17.7792914	11.9119268	21.7810057	0.0305500	0.0303486
265	36.9030871	27.8938857	20.9879660	18.7861860	13.2766665	18.1905070	20.1265006	35.3151630	23.2070333	15.8365140	16.5984583	7.6577452	34.6742657	30.9477555	30.3794331	19.4151511	10.9687286	9.9337255	16.6387984	17.2071532	28.2655841	25.6913195	24.3849823	14.5143800	17.0169635	6.7501865	16.3473031	14.9419975	24.1324074	0.0305500	0.0427730
270	44.0966333	26.1886696	22.4612345	18.6993215	14.1584794	17.9184933	21.3432817	38.6129287	18.6252227	15.2569148	16.8685911	10.1397809	32.1257921	31.3531412	26.6119732	25.8034523	9.9147036	8.3558325	21.1920531	17.2071532	30.3783395	29.1758803	22.3473990	16.4090781	16.5613229	6.7501865	13.7908345	10.9611853	24.1324074	0.0297835	0.0361949
275	37.4175214	27.1487018	24.3634740	17.1288710	14.1584794	15.0717271	14.4428190	36.2959723	22.5317478	12.3955344	13.9287288	9.9711725	32.7788426	31.7857164	24.1280188	22.4526184	10.5350820	9.2599425	21.9764951	19.7726025	28.7583870	25.3074212	18.7537131	12.4757453	15.8508569	6.5687287	12.0452866	11.1392840	25.4118041	0.0282454	0.0246074
280	38.9031530	28.8350558	28.4765965	17.5533670	15.7712276	15.7093369	21.0388908	35.9009544	29.9954751	12.3955344	10.7163113	9.8926532	33.4564599	30.5975077	26.8752035	19.6137131	9.5766921	9.2599425	19.6112269	17.0437971	29.1026977	28.9859141	26.1617240	12.4757453	16.3732824	6.5687287	12.6972440	11.3090924	25.4118041	0.0294671	0.0246074
285	50.3818338	22.1002798	21.1690964	19.2027297	11.6709857	15.6501320	21.0388908	38.1615154	22.6024841	17.1183776	10.7163113	6.7912220	37.7042404	30.3569237	28.1188900	18.0162094	9.5766921	9.2599425	17.0903405	17.1675017	29.5216331	26.0998434	23.9963551	18.6203837	13.9634577	7.1996480	13.4620072	13.2604423	25.4118041	0.0294671	0.0270707
290	45.1386904	25.1192332	24.7966462	22.5425103	13.8650676	15.7752973	16.8168412	32.8908987	19.8180826	17.5841792	15.4688795	9.3056729	30.8111580	30.2790563	30.0058943	20.0151486	9.5766921	9.2599425	17.0903405	18.9680903	29.6862925	29.3845133	27.8567374	14.6111571	21.6481959	7.4138169	15.6906801	8.5019131	26.8984444	0.0308666	0.0238031
295	37.4308226	27.5633789	27.4366370	23.4259267	13.8650676	15.7752973	21.7267127	35.3482509	18.6849921	17.5841792	13.9131679	9.9420277	35.2400812	31.3309795	26.3447025	19.5083420	9.5766921	9.2599425	18.5799857	16.0448274	28.7308907	24.2191711	20.5756993	16.1726360	19.4975478	11.0201327	16.2235128	12.9000678	22.9463875	0.0308666	0.0188722
