Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2	lnL
245	38.4379157	29.7413902	23.7265444	22.6679194	15.8451005	17.1448786	20.0268129	36.2346977	20.9022348	14.9048436	12.6887400	8.0012517	33.1220562	31.0048576	23.1086172	20.5726888	10.7209790	9.1777577	17.9739358	16.5273284	29.5407558	29.0564643	24.9285501	14.8360634	18.9914870	8.9100210	15.2444619	13.0491166	24.7101139	0.0147859	0.0150926	-18.623
250	41.1830566	28.4626385	23.7265444	21.7322600	13.8857287	18.0492815	20.0268129	36.2346977	20.9022348	15.1873677	11.3019888	9.2327022	34.1175956	31.2711950	23.9753940	20.5726888	10.8014648	9.3842651	17.9739358	17.7666120	29.5407558	29.0564643	24.0283879	14.1563687	19.9038926	8.9100210	14.8919604	12.4963622	24.7101139	0.0151809	0.0233711	-30.413
255	40.5361419	28.1929755	22.4765874	20.4987427	12.7356110	16.9964160	20.4670626	38.3431436	20.6975911	13.5078419	11.8301107	8.1605326	34.1349912	31.2021479	24.8477526	21.0323156	10.8014648	8.4040540	18.1552496	17.1673225	29.9022516	29.3903695	26.0607749	14.1563687	18.8578340	7.5433343	14.3932132	13.8218389	24.5184113	0.0148430	0.0112150	-29.289
260	40.5288977	28.1929755	22.4765874	20.4987427	12.5668818	16.9964160	19.7909717	38.3431436	21.7620181	15.9246126	11.4377983	8.1605326	34.1349912	32.9312574	24.4367582	21.0323156	9.2205461	8.2019022	18.5064119	17.1673225	29.9022516	27.2526399	25.7675369	15.9770156	17.6593546	7.5433343	14.8840391	13.0331551	24.5184113	0.0148430	0.0151445	-25.528
265	40.4556764	26.7744510	22.4765874	21.2135296	14.8773746	15.7242962	20.2788879	38.5226112	22.7409238	15.9246126	12.9570012	8.1605326	32.5188962	31.6271611	25.7818525	20.9392544	10.1379242	7.5559950	19.5098819	17.6971128	30.3771552	29.2156763	25.0502859	14.8978502	17.9105748	8.0862906	14.3506878	11.5191119	24.1563178	0.0151369	0.0151445	-31.441
270	39.4229434	28.0698630	23.2079841	20.4038239	16.1953391	17.6904094	20.0066455	36.6289373	22.7409238	15.7572798	12.2687104	8.1605326	32.5188962	31.7689531	24.9860966	21.9650440	11.6214181	8.4265471	18.7257129	16.4082794	29.8429270	28.2268325	24.9309606	17.7124118	19.4370165	8.0862906	14.3506878	12.6669508	24.1563178	0.0148292	0.0223785	-27.319
275	37.3109804	25.5647461	21.9134336	21.0747600	14.5513605	15.3994476	19.6711157	35.4684063	20.2764015	14.5425394	11.0492870	8.0041550	33.1714467	32.5127565	25.4437113	21.1560621	11.3491414	9.6529375	18.7257129	16.8240956	30.6044944	29.3248676	24.9309606	16.5018021	17.2973592	7.7182354	14.3506878	12.6669508	25.7244752	0.0152365	0.0145405	-30.311
280	37.7620696	28.3374862	22.7862384	21.6289497	14.5513605	17.0924898	20.3631682	35.6820293	21.1397564	15.2431322	11.5573926	7.7184029	33.6984786	31.5968642	24.6969148	21.0330766	11.3491414	9.6529375	17.6943127	16.8240956	29.9275307	28.6022225	24.1827572	15.3258431	18.9658112	7.7005590	15.6438814	14.0249976	23.7321643	0.0155745	0.0089687	-18.517
285	38.1793782	28.1113100	22.7862384	21.6649943	15.1594205	17.9429304	20.9114624	36.0985672	22.1749334	13.9633982	11.5962791	7.7184029	32.6499289	31.6162924	24.7120338	21.2557667	11.7345963	10.4018369	18.7754570	15.5727230	30.0114030	29.4498056	25.5400874	13.8707540	18.7808781	8.5539871	16.6436122	13.6669950	23.7321643	0.0149765	0.0169554	-28.292
290	38.5082194	25.2977496	21.8931517	20.7603577	13.5042958	16.1114890	21.0753184	36.8418468	22.1749334	18.1489262	12.8460109	7.2635498	32.0771372	31.3808884	24.6077492	21.2557667	10.9124015	8.4753998	18.7754570	17.2167601	29.9856503	28.8708909	23.6058359	16.0072888	19.2036348	8.3377653	15.2194128	12.2683011	23.3921250	0.0149648	0.0102480	-29.053
